Threat ID,Category,Asset,Threat scenario,Abuse preconditions,Impact,Preventive controls,Detective controls,Verification,Owner,Status,Residual risk
THR-001,Financial integrity,Ledger,"A caller creates an unbalanced, mixed-currency, or malformed journal",Posting path or database boundary is bypassed,Incorrect financial books and balances,FIN-01; FIN-02; FIN-03; FIN-04,"Trial balance, verification variance, immutable-table alerts",ADV-LED-001..005; ADV-LED-008; property and mutation tests,Ledger owner,Open,Low after controls
THR-002,Financial integrity,Economic commands,"Retries or races create duplicate transfers, captures, refunds, or adjustments","Ambiguous network result, concurrent clients, weak uniqueness","Double debit/credit, customer loss, reconciliation breaks",FIN-04; FIN-05; FIN-06,Duplicate business/provider reference metrics and reconciliation,ADV-IDM-001..010; ADV-PAY-001..004,Payments owner,Open,Low
THR-003,Concurrency,Wallet available balance,Concurrent commands overspend the same funds,Hot wallet and non-atomic check/write,Negative balance or uncovered liability,FIN-05; FIN-06,"Negative-balance alert, hold and balance verification",ADV-WAL-001..010,Ledger owner,Open,Low
THR-004,External rail,Transfer lifecycle,Provider accepts a request but response times out and Atlas blindly retries elsewhere,External timeout or process death,Duplicate payout/charge and unrecoverable ambiguity,FIN-06; REL-01; APP-04,Ambiguous-attempt aging and duplicate provider references,ADV-TRF-001..015,Payments owner,Open,Low
THR-005,Authorization,Tenant data and actions,Actor accesses or mutates another tenant’s object by changing identifiers,Authenticated low-privilege account,Cross-tenant data exposure or money movement,IAM-04; APP-02,Denied high-risk decision telemetry and audit,ADV-IAM-001..004; authorization matrix,Security owner,Open,Low
THR-006,Authentication,Sessions,"Session fixation, theft, stale privilege, or invalid token is accepted",Browser/token/session weakness,Account takeover and unauthorized financial action,IAM-01; IAM-02; IAM-03,"Session anomaly, revocation, authentication alerts",ADV-IAM-009; ADV-IAM-014..015; browser inspection,Identity owner,Open,Low
THR-007,Privileged access,Operations and finance consoles,"Workforce actor abuses broad search, reveal, reversal, restriction, export, or break-glass access",Compromised or malicious privileged account,"Large-scale data exposure, fraud, evidence tampering",IAM-03; IAM-04; IAM-05; IAM-06; OPS-03,"Privileged audit, peer review, anomaly alerts",ADV-IAM-011..013; ADV-AUD-003,Security owner,Open,Medium
THR-008,Approval control,High-risk commands,Maker approves own request or approved payload/state changes before execution,"Role change, replay, stale approval","Unauthorized reversal, adjustment, restriction removal, export",IAM-05; FIN-08,Approval conflict and execution audit,ADV-IAM-005..006; ADV-LED-015; ADV-REC-013,Platform owner,Open,Low
THR-009,Data protection,"PII, secrets, financial metadata","Sensitive data leaks through logs, traces, errors, events, browser storage, or reports",Normal request or malicious input reaches telemetry/output,"Privacy harm, credential theft, fraud",DAT-01; DAT-02; APP-07; OPS-01,Canary-value sink scans and DLP-like tests,ADV-PRV-001; ADV-WEB-001; log injection corpus,Privacy owner,Open,Low
THR-010,Resource abuse,API and workers,"Large, expensive, repeated, or high-cardinality inputs exhaust shared resources",Untrusted client or noisy tenant,Availability loss and delayed financial finalization,APP-01; APP-03; REL-01,Rate/queue/pool/cardinality dashboards,ADV-RES-001..010,Reliability owner,Open,Medium
THR-011,SSRF,Webhook delivery egress,Merchant endpoint resolves or redirects to internal/private/metadata service,Ability to register webhook URL,Cloud credential theft or internal service access,APP-06; REL-01,Destination-policy blocks and egress alerts,ADV-WHK-001..003; hostile DNS suite,Security owner,Open,Medium
THR-012,Message authenticity,Provider callbacks and merchant webhooks,"Attacker forges, modifies, replays, or downgrades signed messages",Network or credential access,False transaction state or merchant event injection,APP-05; FIN-06,"Signature failures, replay metrics, key-version audit",ADV-WHK-004..008; ADV-TRF-005..008,Security owner,Open,Low
THR-013,Supply chain,"Source, dependencies, builds, images",Compromised dependency/runner/toolchain injects malicious code,Third-party or CI compromise,System/data compromise across environments,SDLC-01; SDLC-02; SDLC-03; SDLC-05,SBOM/vulnerability/provenance verification,Security verification section 11,Security owner,Open,Medium
THR-014,Deployment,Database schema and migrations,"Unsafe migration locks, loses, duplicates, or reinterprets financial data",Deployment with incompatible schema/code,Outage or silent financial corruption,SDLC-01; FIN-07; REL-02,"Migration telemetry, post-deploy verification",ADV-REL-008..009; migration suites,Data owner,Open,Medium
THR-015,Messaging,"Outbox, broker, consumers","Event is lost, duplicated, reordered, or replayed and consumer assumes exactly once/order","Crash, broker outage, retry, restore",Missing/duplicate side effects and stale operations,FIN-04; REL-01,"Outbox age, consumer lag, inbox conflicts",ADV-REL-001..003; event replay tests,Platform owner,Open,Low
THR-016,Finance operations,Reconciliation exceptions and adjustments,"Discrepancy is misclassified, auto-fixed, or manipulated by an operator",Malformed provider data or privileged misuse,Books do not reflect external settlement; fraud concealed,FIN-07; FIN-08; IAM-05; OPS-03,"Exception aging, suspense, adjustment audit",ADV-REC-001..015,Finance owner,Open,Low
THR-017,File/parser security,"Settlement, KYC evidence, reports","Malformed/hostile file causes code execution, resource exhaustion, traversal, formula injection, or wrong parsing",File upload/import/export,"Service compromise, wrong reconciliation, analyst compromise",APP-01; APP-03; DAT-02,Quarantine and parser failure metrics,ADV-REC-007..008; ADV-WEB-013; parser fuzz,Security owner,Open,Medium
THR-018,Audit integrity,Audit events and manifests,"Privileged actor modifies, deletes, reorders, or suppresses audit evidence",Database/storage/admin access,Undetected fraud and weak incident evidence,OPS-01; IAM-06,"Signed manifests, missing-sequence alerts",ADV-AUD-001..003,Security owner,Open,Medium
THR-019,Recovery,"Backups, restored state, external effects",Restore is incomplete or replay creates divergence/duplicate effects,"Disaster, bad migration, operator error","Incorrect balances, stranded holds, duplicate payouts",REL-02; REL-03; FIN-07,Post-restore reconciliation and manifest checks,ADV-DR-001..005,Reliability owner,Open,Medium
THR-020,Cryptography,Keys and secrets,"Key is exposed, misused, unavailable, downgraded, or restored incorrectly",Secret handling/rotation/DR weakness,"Credential forgery, data loss, unverifiable evidence",DAT-02; SDLC-03; IAM-06,Key use/version alerts and secret scans,Security verification section 7; ADV-DR-004,Security owner,Open,Medium
THR-021,Risk,Risk policy and cases,Attacker evades deterministic controls or analyst makes opaque/unreviewable decision,"Knowledge of rules, account network, weak evidence",Fraud loss or unfair customer restriction,FIN-05; OPS-03; DAT-05,"Rule hit/version, false-positive and case QA",Phase 05 model/adversarial tests,Risk owner,Open,Medium
THR-022,Identity proofing/privacy,KYC simulation and customer profile,"Duplicate identity, forged callback, overcollection, or unsafe manual review corrupts customer assurance",KYC/provider or operator weakness,Account fraud and privacy harm,DAT-01; DAT-02; DAT-03; DAT-05; APP-05,KYC duplicate/replay/manual-review metrics,Phase 02 callback and lifecycle tests,Privacy owner,Open,Medium
