Requirement ID,Phase,Requirement,Control IDs,Threat IDs,Planned verification,Expected evidence,Owner,Status,Evidence link / notes
AUD-010,PHASE-11_STATEMENTS_REPORTING_AUDIT_DATA_RIGHTS,Audit events are append-only to application roles.,OPS-01; OPS-02; IAM-06,THR-007; THR-018; THR-058,"Append-only role, event completeness, manifest tamper and audit-outage policy tests",audit-verification-report,Security owner,Planned,
AUD-011,PHASE-11_STATEMENTS_REPORTING_AUDIT_DATA_RIGHTS,"Event contains actor, actor type, tenant, session assurance, action, target, decision, reason, source IP/network metadata under privacy policy, correlation, case/approval, timestamp, and safe before/after references.",OPS-01; OPS-02; IAM-06,THR-007; THR-018; THR-058,"Append-only role, event completeness, manifest tamper and audit-outage policy tests",audit-verification-report,Security owner,Planned,
AUD-012,PHASE-11_STATEMENTS_REPORTING_AUDIT_DATA_RIGHTS,"Audit search is permissioned, paginated, and export controlled.",OPS-01; OPS-02; IAM-06,THR-007; THR-018; THR-058,"Append-only role, event completeness, manifest tamper and audit-outage policy tests",audit-verification-report,Security owner,Planned,
AUD-013,PHASE-11_STATEMENTS_REPORTING_AUDIT_DATA_RIGHTS,Daily canonical event batches produce hash manifest and managed-key signature.,OPS-01; OPS-02; IAM-06,THR-007; THR-018; THR-058,"Append-only role, event completeness, manifest tamper and audit-outage policy tests",audit-verification-report,Security owner,Planned,
AUD-014,PHASE-11_STATEMENTS_REPORTING_AUDIT_DATA_RIGHTS,"Verification detects missing, reordered, modified, or substituted events within the covered design limits.",OPS-01; OPS-02; IAM-06,THR-007; THR-018; THR-058,"Append-only role, event completeness, manifest tamper and audit-outage policy tests",audit-verification-report,Security owner,Planned,
AUD-015,PHASE-11_STATEMENTS_REPORTING_AUDIT_DATA_RIGHTS,Audit pipeline failure policy is explicit for high-risk mutations.,OPS-01; OPS-02; IAM-06,THR-007; THR-018; THR-058,"Append-only role, event completeness, manifest tamper and audit-outage policy tests",audit-verification-report,Security owner,Planned,
CAS-001,PHASE-10_OPERATIONS_FINANCE_SUPPORT_CASES,Case creation is idempotent for same source event where one logical case is intended.,IAM-04; IAM-05; OPS-03; APP-01,THR-007; THR-008; THR-024,"Case state-machine, assignment races, ETag, approval and audit tests",case-model-report,Operations owner,Planned,
CAS-002,PHASE-10_OPERATIONS_FINANCE_SUPPORT_CASES,Notes are append-only or versioned; edits preserve prior version and actor.,IAM-04; IAM-05; OPS-03; APP-01,THR-007; THR-008; THR-024,"Case state-machine, assignment races, ETag, approval and audit tests",case-model-report,Operations owner,Planned,
CAS-003,PHASE-10_OPERATIONS_FINANCE_SUPPORT_CASES,"Notes have visibility: internal team, restricted security/legal, customer-safe draft.",IAM-04; IAM-05; OPS-03; APP-01,THR-007; THR-008; THR-024,"Case state-machine, assignment races, ETag, approval and audit tests",case-model-report,Operations owner,Planned,
CAS-004,PHASE-10_OPERATIONS_FINANCE_SUPPORT_CASES,"Notes reject active content, detect likely secrets/PII, and render safely.",IAM-04; IAM-05; OPS-03; APP-01,THR-007; THR-008; THR-024,"Case state-machine, assignment races, ETag, approval and audit tests",case-model-report,Operations owner,Planned,
